data_execucao,fonte,empresa,numero_pncp,modalidade,orgao,objeto,valor_estimado,data_encerramento,dias_restantes,municipio,uf,link
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18385138000111-1-000026/2026,Concorrência - Eletrônica,MUNICIPIO DE CAPUTIRA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA, PARA EXECUÇÃO DE CALÇAMENTO EM BLOQUETES SEXTAVADOS/INTERTRAVADOS NO POVOADO DE PIRAPETINGA, CAPUTIRA/MG, CONSISTINDO NO FORNECIMENTO DE MÃO DE OBRA, MATERIAIS, EQUIPAMENTOS E QUAISQUER OUTROS OBJETOS INERENTES À EXECUÇÃO, CONFORME ESPECIFICAÇÕES DOS MEMORIAIS DESCRITIVOS, PROJETOS, CRONOGRAMA FÍSICO-FINANCEIRO, PLANILHA DE CUSTOS E ANEXOS DO EDITAL – RECURSOS CONFORME PLANO DE TRABALHO DE TRANSFERÊNCIA ESPECIAL Nº 00232.",265256.04,2026-08-25,18,Caputira,MG,https://pncp.gov.br/app/editais/18385138000111/2026/26
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,24359333000170-1-000134/2026,Concorrência - Eletrônica,MUNICIPIO DE SALINAS,[Portal de Compras Públicas] - Contratação de empresa especializada em Engenharia e Construção Civil para execução de obra de pavimentação em CBUQ em ruas do município de Salinas/MG (Recurso: Transferência Especial nº 1491001861/2026/SEGOV),509379.12,2026-08-20,13,Salinas,MG,https://pncp.gov.br/app/editais/24359333000170/2026/134
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,19243518000184-1-000037/2026,Concorrência - Eletrônica,MUNICIPIO DE SERICITA,"PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA, COM FORNECIMENTO DE MATERIAIS E MÃO-DE-OBRA, INCLUINDO DISPONIBILIZAÇÃO DE TODOS OS EQUIPAMENTOS NECESSÁRIOS À EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO EM BLOQUETES SEXTAVADOS, SARJETA E DRENAGEM SUPERFICIAL NO POVOADO DE SANTANA, SERICITDA/MG, COM RECURSOS ORIUNDOS DO PLANO DE AÇÃO Nº 09032025-081989, EMENDA PARLAMENTAR Nº 202524880007.",543786.35,2026-09-01,25,Sericita,MG,https://pncp.gov.br/app/editais/19243518000184/2026/37
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,17899717000110-1-000128/2026,Concorrência - Eletrônica,MUNICIPIO DE ARCEBURGO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE AMPLIAÇÃO DA ESCOLA MUNICIPAL CORONEL CÂNDIDO DE SOUZA DIAS, COM RECURSOS DE TRANSFERÊNCIA DO FUNDEB - IDENTIFICAÇÃO DO PERCENTUAL APLICADO NA CRIAÇÃO DE MATRICULAS EM TEMPO INTEGRAL",447431.52,2026-08-26,19,Arceburgo,MG,https://pncp.gov.br/app/editais/17899717000110/2026/128
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18309724000187-1-000109/2026,Dispensa de Licitação,MUNICIPIO DE ITAUNA,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO INTEGRADA DE SERVIÇOS TÉCNICOS DE ASSESSORIA, CONSULTORIA E OPERACIONALIZAÇÃO DA POLÍTICA NACIONAL ALDIR BLANC - PNAB - CICLO 2, CONTEMPLANDO O SUPORTE TÉCNICO NECESSÁRIO AO PLANEJAMENTO, ELABORAÇÃO E EXECUÇÃO DOS INSTRUMENTOS DE FOMENTO CULTURAL, ACOMPANHAMENTO DOS PROCESSOS ADMINISTRATIVOS, APOIO OPERACIONAL COMPLETO, REALIZAÇÃO DE LEVANTAMENTOS E DIAGNÓSTICOS, EMISSÃO DE RELATÓRIOS GERENCIAIS, ANÁLISE DAS PRESTAÇÕES DE CONTAS APRESENTADAS PELOS BENEFICIÁRIOS DOS RECURSOS E APOIO TÉCNICO NA ELABORAÇÃO E ENVIO DA PRESTAÇÃO DE CONTAS DO MUNICÍPIO AO MINISTÉRIO DA CULTURA.",32386.29,2026-08-12,5,Itaúna,MG,https://pncp.gov.br/app/editais/18309724000187/2026/109
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18303180000146-1-000030/2026,Dispensa de Licitação,MUNICIPIO DE CONGONHAS DO NORTE,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ASSESSORIA E CONSULTORIA EDUCACIONAL DESTINANDO AO SUPORTE CONTÍNUO À GESTÃO DA DIRETORIA MUNICIPAL DE EDUCAÇÃO, COMPREENDENDO O ACOMPANHAMENTO, ORIENTAÇÃO, MONITORAMENTO, PRESTAÇÃO DE CONTAS DOS PROGRAMAS EDUCACIONAIS, BEM COMO APOIO TÉCNICO NA GESTÃO DE RECURSOS DA EDUCAÇÃO, INCLUINDO FNDE E DEMAIS RECURSOS. ESTRUTURAÇÃO E ACOMPANHAMENTO DE CONSELHOS ESCOLARES, ELABORAÇÃO E ACOMPANHAMENTO DE PROJETOS, PLANO DE TRABALHO",61299.96,2026-08-12,5,Congonhas do Norte,MG,https://pncp.gov.br/app/editais/18303180000146/2026/30
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18392522000141-1-000078/2026,Dispensa de Licitação,MUNICIPIO DE LAJINHA,"Contratação de empresa especializada para prestação de serviços técnicos de assessoria e consultoria visando à implementação da Política Nacional Aldir Blanc (PNAB), instituída pela Lei nº 14.399/2022, regulamentada pelos Decretos nº 11.740/2023 e nº 11.453/2023 e pela Portaria MINC nº 80/2023, compreendendo suporte técnico especializado em todas as fases da política planejamento, estruturação normativa e de editais, análise de projetos, acompanhamento orçamentário e financeiro, fiscalização da execução cultural e prestação de contas técnica e financeira, em conformidade com a legislação federal aplicável, conforme descrição detalhada constante no Termo de Referência em anexo.",,2026-08-14,7,Lajinha,MG,https://pncp.gov.br/app/editais/18392522000141/2026/78
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18392522000141-1-000079/2026,Dispensa de Licitação,MUNICIPIO DE LAJINHA,"Contratação de empresa especializada para prestação de serviços técnicos de assessoria e consultoria visando à implementação da Política Nacional Aldir Blanc (PNAB), instituída pela Lei nº 14.399/2022, regulamentada pelos Decretos nº 11.740/2023 e nº 11.453/2023 e pela Portaria MINC nº 80/2023, compreendendo suporte técnico especializado em todas as fases da política — planejamento, estruturação normativa e de editais, análise de projetos, acompanhamento orçamentário e financeiro, fiscalização da execução cultural e prestação de contas técnica e financeira —, em conformidade com a legislação federal aplicável.",8600.0,2026-08-14,7,Lajinha,MG,https://pncp.gov.br/app/editais/18392522000141/2026/79
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,00394452000103-1-015957/2026,Dispensa de Licitação,COMANDO DO EXERCITO,"2.1 A aquisição dos materiais solicitados destina-se a atender às necessidades da Enfermaria PMGuTC que atende a demanda de um efetivo de 500 (quinhentos) alunos do Curso de Formação de Sargentos, aproximadamente 300 (trezentos) Soldados do Efetivo Variável e 800 (oitocentos) militares do corpo permanente da ESA que fazem jus ao atendimento no referido Posto. Ainda, a Guarnição abrangida pelo Posto Médico de Três Corações possui cerca de 5.000 (cinco mil) beneficiários (incluindo militares da at",16363.5,2026-08-17,10,Três Corações,MG,https://pncp.gov.br/app/editais/00394452000103/2026/15957
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18128207000101-1-000229/2026,Dispensa de Licitação,MUNICIPIO DE UBA,Aquisicao emergencial  via contratacao direta  art. 75  VIII  Lei n  14.133 2021   de itens de ajuda humanitaria  kits de higiene pessoal  kits de limpeza domestica e kits dormitorio  para atendimento as familias desalojadas e desabrigadas em decorrencia do desastre ocorrido no Municipio de Uba MG  afetadas pelo estado de calamidade publica. A presente contratacao atende as metas previstas no Plano de Trabalho aprovado no Sistema Integrado de Informacoes sobre Desastres   S2ID  Protocolo n  RES MG 3169901  20260225 02   custeado com recursos da Secretaria Nacional de Protecao e Defesa Civil.,164746.7,2026-08-12,5,Ubá,MG,https://pncp.gov.br/app/editais/18128207000101/2026/229
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18128207000101-1-000230/2026,Dispensa de Licitação,MUNICIPIO DE UBA,"Aquisição emergencial, via contratação direta (art. 75, VIII, Lei nº 14.133/2021), de itens de ajuda humanitária (kits de higiene pessoal, kits de limpeza doméstica e kits dormitório) para atendimento às famílias desalojadas e desabrigadas em decorrência do desastre ocorrido no Município de Ubá/MG, afetadas pelo estado de calamidade pública. A presente contratação atende às metas previstas no Plano de Trabalho aprovado no Sistema Integrado de Informações sobre Desastres   S2ID (Protocolo nº RES-MG-3169901- 20260225-02), custeado com recursos da Secretaria Nacional de Proteção e Defesa Civil.",164746.7,2026-08-12,5,Ubá,MG,https://pncp.gov.br/app/editais/18128207000101/2026/230
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18291385000159-1-000185/2026,Dispensa de Licitação,MUNICIPIO DE NOVA SERRANA,"PRESTAÇÃO DOS SERVIÇOS NA FORMA DE DISPONIBILIZAÇÃO DE SOLUÇÃO DE SOFTWARE COMO SERVIÇO NA WEB (SAAS) PARA GERENCIAMENTO DE CONTEÚDO E SERVIÇOS WEB, SEM LIMITES DE USUÁRIOS E SEM LIMITES DE TRAFEGO DE INFORMAÇÕES, INCLUINDO IMPLANTAÇÃO, CUSTOMIZAÇÃO DE LAYOUT, MIGRAÇÃO DE CONTEÚDO, LICENÇA DE USO, HOSPEDAGEM EM MODELO HOSTING, CAPACITAÇÃO DE SERVIDORES E SUPORTE TÉCNICO MENSAL, TREINAMENTO E MANUTENÇÃO DO PORTAL PÚBLICO.",23270.0,2026-08-12,5,Nova Serrana,MG,https://pncp.gov.br/app/editais/18291385000159/2026/185
2026-08-07 18:09,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,16695025000197-1-000691/2026,Dispensa de Licitação,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,Confecção de troféus para cursos do CPE em 2026.,53760.0,2026-08-12,5,Belo Horizonte,MG,https://pncp.gov.br/app/editais/16695025000197/2026/691
2026-08-08 04:21,empresa,Drogaria Costa & Costa de Barbacena,18128207000101-1-000236/2026,Dispensa de Licitação,MUNICIPIO DE UBA,Aquisicao de mobiliario tecnico  cabines de atendimento com divisorias  estilo call center  nas configuracoes completas e complementares   destinado a reestruturacao fisica e a retomada plena das estacoes de atendimento presencial ao publico na Farmacia Municipal.,6909.5,2026-08-13,5,Ubá,MG,https://pncp.gov.br/app/editais/18128207000101/2026/236
2026-08-08 04:21,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,18295303000144-1-000250/2026,Concorrência - Eletrônica,MUNICIPIO DE MARIANA,CONTRATACAO DE EMPRESA PARA EXECUCAO DA OBRA DE RESTAURACAO DA IGREJA MATRIZ DO BOM JESUS DO MONTE  NO DISTRITO DE FURQUIM - MARIANA/MG  COM RECURSOS DO NOVO PAC A PEDIDO DA SECRETARIA DE OBRAS.,2931533.79,2026-09-14,37,Mariana,MG,https://pncp.gov.br/app/editais/18295303000144/2026/250
2026-08-08 04:21,empresa,J.L. TREINAMENTOS E CONSULTORIA LTDA,07480746000199-1-000011/2026,Dispensa de Licitação,CAMARA MUNICIPAL DE PARAGUACU,"Contratação de empresa especializada para licenciamento de uso de Sistema Integrado de Gestão do Processo Legislativo Eletrônico, em ambiente web/nuvem, no modelo Software as a Service - SaaS, compreendendo a disponibilização de plataforma web/mobile, implantação, parametrização, migração/conversão de dados do sistema anterior, treinamento de usuários, suporte técnico, manutenção, hospedagem e atualizações legais, regimentais e tecnológicas, conforme as necessidades da Câmara Municipal de Paraguaçu/MG.",47000.0,2026-08-13,5,Paraguaçu,MG,https://pncp.gov.br/app/editais/07480746000199/2026/11
2026-08-08 17:07,empresa,Carlos Batista da Silva,00348003000110-1-000682/2026,Dispensa de Licitação,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,"Aquisição de materiais/equipamentos de EPI, específicos para execução das atividades de pesquisa (P&D) no Campo Experimental José Henrique Bruschi",,2026-08-27,19,Juiz de Fora,MG,https://pncp.gov.br/app/editais/00348003000110/2026/682
